reads_per_thread,step,stride,bandwidth
1,8,8,2548.759
1,8,16,1477.760
1,8,32,739.626
1,8,64,370.732
1,8,128,343.628
1,8,256,265.867
1,8,512,234.371
1,8,1024,204.680
1,8,2048,175.925
1,8,4096,135.353
1,8,8192,111.016
1,8,16384,76.435
1,8,32768,37.203
1,8,65536,17.498
1,8,131072,8.673
1,8,262144,5.035
1,8,524288,2.556
1,8,1048576,1.240
1,32,32,2954.586
1,32,64,1479.302
1,32,128,1381.825
1,32,256,1063.129
1,32,512,946.440
1,32,1024,799.699
1,32,2048,693.836
1,32,4096,534.604
1,32,8192,554.387
1,32,16384,279.557
1,32,32768,161.476
1,32,65536,76.893
1,32,131072,32.367
1,32,262144,19.212
1,32,524288,8.038
1,32,1048576,4.916
1,64,64,2954.811
1,64,128,2468.257
1,64,256,2103.590
1,64,512,1877.493
1,64,1024,1608.998
1,64,2048,1342.929
1,64,4096,1005.690
1,64,8192,794.774
1,64,16384,524.082
1,64,32768,289.966
1,64,65536,143.981
1,64,131072,68.144
1,64,262144,36.699
1,64,524288,17.657
1,64,1048576,9.170
2,8,8,2962.937
2,8,16,1483.174
2,8,32,741.734
2,8,64,370.907
2,8,128,336.483
2,8,256,250.949
2,8,512,229.966
2,8,1024,204.648
2,8,2048,170.929
2,8,4096,130.765
2,8,8192,133.710
2,8,16384,73.225
2,8,32768,40.188
2,8,65536,18.471
2,8,131072,8.212
2,8,262144,4.919
2,8,524288,2.515
2,8,1048576,1.235
2,32,32,2951.717
2,32,64,1483.997
2,32,128,1351.473
2,32,256,1009.822
2,32,512,914.200
2,32,1024,791.628
2,32,2048,672.250
2,32,4096,532.047
2,32,8192,524.633
2,32,16384,282.180
2,32,32768,150.512
2,32,65536,74.616
2,32,131072,37.415
2,32,262144,18.891
2,32,524288,9.437
2,32,1048576,3.859
2,64,64,2947.826
2,64,128,2238.645
2,64,256,1806.811
2,64,512,1591.536
2,64,1024,1389.095
2,64,2048,1184.969
2,64,4096,928.347
2,64,8192,840.784
2,64,16384,527.539
2,64,32768,263.690
2,64,65536,129.441
2,64,131072,67.315
2,64,262144,32.016
2,64,524288,16.746
2,64,1048576,7.755
4,8,8,2968.011
4,8,16,1478.844
4,8,32,739.143
4,8,64,369.845
4,8,128,330.950
4,8,256,243.170
4,8,512,225.973
4,8,1024,203.667
4,8,2048,169.486
4,8,4096,132.979
4,8,8192,119.745
4,8,16384,74.844
4,8,32768,36.469
4,8,65536,20.079
4,8,131072,9.360
4,8,262144,4.777
4,8,524288,2.355
4,8,1048576,1.192
4,32,32,2964.251
4,32,64,1479.354
4,32,128,1316.252
4,32,256,969.652
4,32,512,888.505
4,32,1024,800.818
4,32,2048,670.460
4,32,4096,535.936
4,32,8192,469.871
4,32,16384,279.522
4,32,32768,131.467
4,32,65536,66.899
4,32,131072,31.247
4,32,262144,17.416
4,32,524288,8.759
4,32,1048576,4.362
4,64,64,2947.285
4,64,128,2248.918
4,64,256,1758.273
4,64,512,1591.879
4,64,1024,1395.488
4,64,2048,1191.155
4,64,4096,928.902
4,64,8192,821.015
4,64,16384,438.694
4,64,32768,219.374
4,64,65536,107.529
4,64,131072,54.463
4,64,262144,26.230
4,64,524288,13.639
4,64,1048576,6.715
8,8,8,2963.257
8,8,16,1479.522
8,8,32,741.489
8,8,64,369.828
8,8,128,326.786
8,8,256,238.571
8,8,512,223.661
8,8,1024,202.299
8,8,2048,173.828
8,8,4096,134.689
8,8,8192,131.933
8,8,16384,69.325
8,8,32768,34.985
8,8,65536,17.365
8,8,131072,8.588
8,8,262144,4.409
8,8,524288,2.074
8,8,1048576,1.193
8,32,32,2958.653
8,32,64,1464.096
8,32,128,1202.441
8,32,256,877.796
8,32,512,811.552
8,32,1024,741.386
8,32,2048,676.625
8,32,4096,526.894
8,32,8192,451.699
8,32,16384,234.625
8,32,32768,123.771
8,32,65536,57.981
8,32,131072,29.495
8,32,262144,14.204
8,32,524288,7.371
8,32,1048576,4.118
8,64,64,2931.310
8,64,128,2127.941
8,64,256,1856.658
8,64,512,1618.742
8,64,1024,1462.219
8,64,2048,1274.884
8,64,4096,1003.663
8,64,8192,639.128
8,64,16384,323.557
8,64,32768,160.443
8,64,65536,81.102
8,64,131072,40.602
8,64,262144,20.361
8,64,524288,10.157
8,64,1048576,6.657
16,8,8,2969.045
16,8,16,1482.133
16,8,32,739.751
16,8,64,368.889
16,8,128,323.706
16,8,256,236.731
16,8,512,222.057
16,8,1024,201.767
16,8,2048,175.762
16,8,4096,133.277
16,8,8192,117.081
16,8,16384,60.267
16,8,32768,30.211
16,8,65536,15.007
16,8,131072,7.541
16,8,262144,3.804
16,8,524288,2.156
16,8,1048576,1.067
16,32,32,2939.032
16,32,64,1466.354
16,32,128,1240.880
16,32,256,910.017
16,32,512,849.798
16,32,1024,783.768
16,32,2048,694.465
16,32,4096,487.014
16,32,8192,325.320
16,32,16384,177.693
16,32,32768,85.963
16,32,65536,43.141
16,32,131072,22.318
16,32,262144,11.321
16,32,524288,6.912
16,32,1048576,4.195
16,64,64,2906.447
16,64,128,2080.082
16,64,256,1739.895
16,64,512,1642.674
16,64,1024,1532.202
16,64,2048,1324.176
16,64,4096,820.918
16,64,8192,420.911
16,64,16384,213.638
16,64,32768,106.750
16,64,65536,53.066
16,64,131072,26.306
16,64,262144,13.504
16,64,524288,9.933
16,64,1048576,6.740
32,8,8,2963.252
32,8,16,1480.195
32,8,32,737.540
32,8,64,367.994
32,8,128,323.733
32,8,256,234.097
32,8,512,219.807
32,8,1024,200.497
32,8,2048,167.109
32,8,4096,133.959
32,8,8192,91.276
32,8,16384,45.604
32,8,32768,23.338
32,8,65536,11.313
32,8,131072,5.550
32,8,262144,3.102
32,8,524288,1.955
32,8,1048576,1.082
32,32,32,2940.269
32,32,64,1473.475
32,32,128,1258.467
32,32,256,937.654
32,32,512,898.572
32,32,1024,815.683
32,32,2048,679.180
32,32,4096,454.696
32,32,8192,238.584
32,32,16384,119.887
32,32,32768,59.829
32,32,65536,30.151
32,32,131072,13.776
32,32,262144,10.573
32,32,524288,6.783
32,32,1048576,3.986
32,64,64,2795.810
32,64,128,2016.130
32,64,256,1672.214
32,64,512,1713.151
32,64,1024,1563.365
32,64,2048,999.208
32,64,4096,502.069
32,64,8192,253.575
32,64,16384,127.221
32,64,32768,63.745
32,64,65536,30.790
32,64,131072,15.983
32,64,262144,12.645
32,64,524288,9.260
32,64,1048576,5.429
64,8,8,2959.357
64,8,16,1476.372
64,8,32,734.799
64,8,64,366.691
64,8,128,322.764
64,8,256,221.907
64,8,512,222.279
64,8,1024,192.971
64,8,2048,164.858
64,8,4096,122.532
64,8,8192,62.820
64,8,16384,29.977
64,8,32768,16.446
64,8,65536,8.043
64,8,131072,4.862
64,8,262144,3.027
64,8,524288,1.872
64,8,1048576,0.976
64,32,32,2926.914
64,32,64,1459.172
64,32,128,1282.122
64,32,256,956.662
64,32,512,912.153
64,32,1024,775.495
64,32,2048,576.796
64,32,4096,291.784
64,32,8192,145.375
64,32,16384,69.851
64,32,32768,37.023
64,32,65536,18.288
64,32,131072,14.262
64,32,262144,9.986
64,32,524288,6.232
64,32,1048576,3.265
64,64,64,2682.287
64,64,128,2100.916
64,64,256,1827.018
64,64,512,1748.725
64,64,1024,1105.613
64,64,2048,558.502
64,64,4096,279.198
64,64,8192,140.089
64,64,16384,70.414
64,64,32768,35.094
64,64,65536,17.599
64,64,131072,15.161
64,64,262144,12.004
64,64,524288,8.429
64,64,1048576,5.533
128,8,8,2952.680
128,8,16,1468.201
128,8,32,733.859
128,8,64,366.136
128,8,128,322.912
128,8,256,235.771
128,8,512,212.307
128,8,1024,201.325
128,8,2048,140.282
128,8,4096,78.885
128,8,8192,39.349
128,8,16384,20.401
128,8,32768,9.984
128,8,65536,7.550
128,8,131072,4.933
128,8,262144,2.698
128,8,524288,1.585
128,8,1048576,0.738
128,32,32,2900.281
128,32,64,1434.501
128,32,128,1280.918
128,32,256,966.129
128,32,512,905.713
128,32,1024,649.083
128,32,2048,326.572
128,32,4096,163.513
128,32,8192,82.051
128,32,16384,40.841
128,32,32768,20.379
128,32,65536,17.050
128,32,131072,12.771
128,32,262144,8.414
128,32,524288,5.056
128,32,1048576,2.798
128,64,64,2842.646
128,64,128,2285.506
128,64,256,1876.198
128,64,512,1178.764
128,64,1024,590.872
128,64,2048,295.658
128,64,4096,147.842
128,64,8192,74.095
128,64,16384,37.082
128,64,32768,18.520
128,64,65536,16.812
128,64,131072,14.333
128,64,262144,11.017
128,64,524288,7.519
128,64,1048576,4.625
256,8,8,2907.608
256,8,16,1463.030
256,8,32,731.940
256,8,64,368.099
256,8,128,324.248
256,8,256,225.619
256,8,512,219.147
256,8,1024,159.111
256,8,2048,81.473
256,8,4096,45.613
256,8,8192,23.007
256,8,16384,11.534
256,8,32768,9.162
256,8,65536,6.402
256,8,131072,3.978
256,8,262144,2.264
256,8,524288,1.244
256,8,1048576,0.618
256,32,32,2736.282
256,32,64,1470.599
256,32,128,1318.219
256,32,256,859.822
256,32,512,690.402
256,32,1024,350.288
256,32,2048,175.810
256,32,4096,87.689
256,32,8192,43.809
256,32,16384,21.900
256,32,32768,19.151
256,32,65536,15.224
256,32,131072,10.849
256,32,262144,6.792
256,32,524288,3.998
256,32,1048576,2.171
256,64,64,2831.650
256,64,128,2423.057
256,64,256,1216.867
256,64,512,609.090
256,64,1024,303.771
256,64,2048,152.424
256,64,4096,76.184
256,64,8192,38.110
256,64,16384,19.105
256,64,32768,17.761
256,64,65536,15.709
256,64,131072,12.487
256,64,262144,8.979
256,64,524288,5.744
256,64,1048576,3.239
