reads_per_thread,step,stride,bandwidth
1,8,8,2587.898
1,8,16,1504.711
1,8,32,752.240
1,8,64,377.384
1,8,128,355.800
1,8,256,283.757
1,8,512,259.423
1,8,1024,245.559
1,8,2048,239.281
1,8,4096,231.645
1,8,8192,215.398
1,8,16384,198.065
1,8,32768,167.212
1,8,65536,120.702
1,8,131072,130.746
1,8,262144,75.587
1,8,524288,39.098
1,8,1048576,18.638
1,32,32,3009.373
1,32,64,1509.726
1,32,128,1428.912
1,32,256,1121.814
1,32,512,1031.956
1,32,1024,978.419
1,32,2048,945.984
1,32,4096,905.080
1,32,8192,863.028
1,32,16384,785.403
1,32,32768,633.532
1,32,65536,497.299
1,32,131072,485.280
1,32,262144,292.965
1,32,524288,154.613
1,32,1048576,75.578
1,64,64,3020.271
1,64,128,2559.520
1,64,256,2216.669
1,64,512,2058.526
1,64,1024,1958.785
1,64,2048,1903.077
1,64,4096,1834.607
1,64,8192,1701.757
1,64,16384,1541.848
1,64,32768,1218.883
1,64,65536,991.352
1,64,131072,839.177
1,64,262144,509.335
1,64,524288,285.317
1,64,1048576,143.370
2,8,8,3022.498
2,8,16,1510.811
2,8,32,755.657
2,8,64,378.017
2,8,128,345.400
2,8,256,261.648
2,8,512,249.715
2,8,1024,241.605
2,8,2048,236.482
2,8,4096,227.974
2,8,8192,215.959
2,8,16384,197.354
2,8,32768,166.116
2,8,65536,122.364
2,8,131072,133.163
2,8,262144,74.347
2,8,524288,38.930
2,8,1048576,19.350
2,32,32,3022.445
2,32,64,1511.665
2,32,128,1393.849
2,32,256,1048.145
2,32,512,1000.872
2,32,1024,964.081
2,32,2048,944.429
2,32,4096,916.145
2,32,8192,861.824
2,32,16384,791.254
2,32,32768,670.297
2,32,65536,500.753
2,32,131072,494.941
2,32,262144,296.077
2,32,524288,150.345
2,32,1048576,76.159
2,64,64,3005.829
2,64,128,2329.973
2,64,256,1891.854
2,64,512,1728.570
2,64,1024,1705.277
2,64,2048,1706.076
2,64,4096,1609.403
2,64,8192,1524.020
2,64,16384,1334.895
2,64,32768,1080.937
2,64,65536,898.782
2,64,131072,725.940
2,64,262144,527.326
2,64,524288,263.324
2,64,1048576,132.722
4,8,8,3022.539
4,8,16,1512.288
4,8,32,755.636
4,8,64,377.707
4,8,128,340.296
4,8,256,252.051
4,8,512,245.026
4,8,1024,239.426
4,8,2048,234.797
4,8,4096,228.747
4,8,8192,215.786
4,8,16384,199.337
4,8,32768,164.782
4,8,65536,130.315
4,8,131072,133.411
4,8,262144,74.815
4,8,524288,36.649
4,8,1048576,18.079
4,32,32,3023.489
4,32,64,1510.809
4,32,128,1364.812
4,32,256,1009.425
4,32,512,973.942
4,32,1024,952.602
4,32,2048,930.139
4,32,4096,906.457
4,32,8192,858.491
4,32,16384,729.651
4,32,32768,657.547
4,32,65536,529.370
4,32,131072,517.262
4,32,262144,267.115
4,32,524288,137.983
4,32,1048576,68.704
4,64,64,2968.708
4,64,128,2337.646
4,64,256,1810.351
4,64,512,1708.242
4,64,1024,1726.903
4,64,2048,1717.413
4,64,4096,1657.182
4,64,8192,1525.255
4,64,16384,1377.122
4,64,32768,1163.442
4,64,65536,906.511
4,64,131072,847.959
4,64,262144,432.719
4,64,524288,216.478
4,64,1048576,112.061
8,8,8,3025.395
8,8,16,1512.033
8,8,32,754.541
8,8,64,376.803
8,8,128,335.586
8,8,256,247.083
8,8,512,242.479
8,8,1024,237.346
8,8,2048,234.210
8,8,4096,227.973
8,8,8192,216.253
8,8,16384,198.517
8,8,32768,168.234
8,8,65536,131.798
8,8,131072,111.147
8,8,262144,68.154
8,8,524288,34.464
8,8,1048576,17.172
8,32,32,3010.382
8,32,64,1493.611
8,32,128,1249.391
8,32,256,906.701
8,32,512,883.132
8,32,1024,862.127
8,32,2048,826.608
8,32,4096,818.645
8,32,8192,779.917
8,32,16384,719.859
8,32,32768,653.225
8,32,65536,518.115
8,32,131072,434.742
8,32,262144,229.582
8,32,524288,115.467
8,32,1048576,58.125
8,64,64,3000.920
8,64,128,2237.888
8,64,256,1953.289
8,64,512,1868.089
8,64,1024,1804.853
8,64,2048,1780.630
8,64,4096,1715.031
8,64,8192,1558.966
8,64,16384,1428.001
8,64,32768,1248.872
8,64,65536,1001.259
8,64,131072,639.108
8,64,262144,312.550
8,64,524288,160.167
8,64,1048576,81.360
16,8,8,3023.157
16,8,16,1510.120
16,8,32,753.606
16,8,64,374.110
16,8,128,333.871
16,8,256,244.474
16,8,512,240.950
16,8,1024,237.390
16,8,2048,233.495
16,8,4096,227.038
16,8,8192,211.736
16,8,16384,194.477
16,8,32768,166.646
16,8,65536,130.481
16,8,131072,118.591
16,8,262144,51.354
16,8,524288,29.440
16,8,1048576,14.520
16,32,32,3004.929
16,32,64,1493.943
16,32,128,1275.271
16,32,256,924.041
16,32,512,906.033
16,32,1024,888.304
16,32,2048,873.353
16,32,4096,846.386
16,32,8192,812.308
16,32,16384,747.228
16,32,32768,686.362
16,32,65536,514.410
16,32,131072,323.634
16,32,262144,158.292
16,32,524288,88.653
16,32,1048576,45.011
16,64,64,2985.915
16,64,128,2197.685
16,64,256,1867.417
16,64,512,1809.012
16,64,1024,1747.758
16,64,2048,1728.158
16,64,4096,1618.688
16,64,8192,1547.847
16,64,16384,1498.465
16,64,32768,1278.483
16,64,65536,826.994
16,64,131072,425.383
16,64,262144,214.966
16,64,524288,107.792
16,64,1048576,52.994
32,8,8,3019.801
32,8,16,1508.206
32,8,32,751.735
32,8,64,374.523
32,8,128,332.536
32,8,256,243.015
32,8,512,240.526
32,8,1024,236.691
32,8,2048,233.403
32,8,4096,226.699
32,8,8192,200.981
32,8,16384,197.156
32,8,32768,160.811
32,8,65536,128.070
32,8,131072,90.095
32,8,262144,47.276
32,8,524288,22.932
32,8,1048576,11.435
32,32,32,3008.578
32,32,64,1499.405
32,32,128,1321.231
32,32,256,970.836
32,32,512,953.582
32,32,1024,933.210
32,32,2048,905.782
32,32,4096,887.471
32,32,8192,859.485
32,32,16384,759.454
32,32,32768,647.958
32,32,65536,456.934
32,32,131072,236.921
32,32,262144,119.844
32,32,524288,60.140
32,32,1048576,30.209
32,64,64,2871.230
32,64,128,2121.860
32,64,256,1653.049
32,64,512,1602.311
32,64,1024,1571.909
32,64,2048,1543.668
32,64,4096,1595.316
32,64,8192,1639.940
32,64,16384,1521.094
32,64,32768,997.645
32,64,65536,501.348
32,64,131072,252.618
32,64,262144,127.380
32,64,524288,63.873
32,64,1048576,32.003
64,8,8,3014.766
64,8,16,1504.514
64,8,32,750.272
64,8,64,373.159
64,8,128,332.117
64,8,256,242.145
64,8,512,239.506
64,8,1024,236.481
64,8,2048,232.601
64,8,4096,216.374
64,8,8192,213.600
64,8,16384,191.269
64,8,32768,165.450
64,8,65536,109.556
64,8,131072,63.073
64,8,262144,32.056
64,8,524288,16.051
64,8,1048576,7.576
64,32,32,3010.446
64,32,64,1497.684
64,32,128,1322.206
64,32,256,967.883
64,32,512,951.118
64,32,1024,925.886
64,32,2048,916.953
64,32,4096,910.833
64,32,8192,859.849
64,32,16384,738.721
64,32,32768,573.096
64,32,65536,290.253
64,32,131072,144.663
64,32,262144,73.032
64,32,524288,35.279
64,32,1048576,17.499
64,64,64,2849.024
64,64,128,2139.548
64,64,256,1655.816
64,64,512,1639.463
64,64,1024,1543.178
64,64,2048,1632.417
64,64,4096,1758.753
64,64,8192,1664.083
64,64,16384,1110.441
64,64,32768,557.623
64,64,65536,278.008
64,64,131072,139.718
64,64,262144,70.243
64,64,524288,35.248
64,64,1048576,17.601
128,8,8,3008.619
128,8,16,1500.684
128,8,32,748.659
128,8,64,374.034
128,8,128,331.253
128,8,256,240.865
128,8,512,238.866
128,8,1024,234.701
128,8,2048,232.593
128,8,4096,227.400
128,8,8192,205.344
128,8,16384,193.065
128,8,32768,148.470
128,8,65536,78.100
128,8,131072,39.558
128,8,262144,19.753
128,8,524288,9.956
128,8,1048576,7.109
128,32,32,2974.793
128,32,64,1455.159
128,32,128,1227.694
128,32,256,895.544
128,32,512,877.681
128,32,1024,885.242
128,32,2048,923.022
128,32,4096,910.736
128,32,8192,847.077
128,32,16384,641.578
128,32,32768,327.077
128,32,65536,163.603
128,32,131072,81.692
128,32,262144,40.980
128,32,524288,20.891
128,32,1048576,17.125
128,64,64,2953.167
128,64,128,2212.272
128,64,256,1782.397
128,64,512,1672.862
128,64,1024,1743.986
128,64,2048,1800.238
128,64,4096,1771.967
128,64,8192,1149.444
128,64,16384,590.118
128,64,32768,292.608
128,64,65536,147.779
128,64,131072,74.049
128,64,262144,37.153
128,64,524288,18.567
128,64,1048576,16.819
256,8,8,3002.407
256,8,16,1499.641
256,8,32,748.526
256,8,64,373.609
256,8,128,329.924
256,8,256,240.311
256,8,512,237.778
256,8,1024,234.400
256,8,2048,233.438
256,8,4096,217.200
256,8,8192,211.601
256,8,16384,171.515
256,8,32768,89.652
256,8,65536,44.916
256,8,131072,22.550
256,8,262144,11.261
256,8,524288,9.005
256,8,1048576,6.161
256,32,32,2997.639
256,32,64,1495.400
256,32,128,1295.418
256,32,256,942.991
256,32,512,933.898
256,32,1024,940.011
256,32,2048,936.346
256,32,4096,838.414
256,32,8192,699.819
256,32,16384,346.521
256,32,32768,175.274
