reads_per_thread,step,stride,bandwidth
1,128,128,1921.509
1,128,256,1916.664
1,128,512,1898.980
1,128,1024,1899.556
1,128,2048,1823.784
1,128,4096,1789.046
1,128,8192,1716.324
1,128,16384,1609.295
1,128,32768,1442.136
1,128,65536,1217.896
1,128,131072,1077.143
1,128,262144,802.585
1,128,524288,480.606
1,128,1048576,311.858
2,128,128,1924.298
2,128,256,1923.416
2,128,512,1915.768
2,128,1024,1897.392
2,128,2048,1874.300
2,128,4096,1827.836
2,128,8192,1764.452
2,128,16384,1645.904
2,128,32768,1361.212
2,128,65536,1166.545
2,128,131072,1084.711
2,128,262144,718.679
2,128,524288,514.703
2,128,1048576,258.883
4,128,128,1910.901
4,128,256,1908.162
4,128,512,1892.609
4,128,1024,1871.632
4,128,2048,1833.996
4,128,4096,1781.170
4,128,8192,1687.772
4,128,16384,1537.538
4,128,32768,1304.729
4,128,65536,1137.297
4,128,131072,894.802
4,128,262144,721.988
4,128,524288,363.670
4,128,1048576,182.619
8,128,128,1909.653
8,128,256,1903.745
8,128,512,1892.281
8,128,1024,1877.138
8,128,2048,1838.717
8,128,4096,1807.942
8,128,8192,1673.871
8,128,16384,1430.264
8,128,32768,1325.764
8,128,65536,961.588
8,128,131072,902.471
8,128,262144,461.337
8,128,524288,231.359
8,128,1048576,114.994
16,128,128,1905.573
16,128,256,1899.152
16,128,512,1881.747
16,128,1024,1852.056
16,128,2048,1828.048
16,128,4096,1719.907
16,128,8192,1542.623
16,128,16384,1472.569
16,128,32768,1074.264
16,128,65536,990.224
16,128,131072,507.417
16,128,262144,243.493
16,128,524288,128.021
16,128,1048576,67.863
32,128,128,1917.647
32,128,256,1899.925
32,128,512,1870.725
32,128,1024,1817.677
32,128,2048,1709.750
32,128,4096,1549.015
32,128,8192,1556.392
32,128,16384,1136.659
32,128,32768,1112.078
32,128,65536,568.129
32,128,131072,293.768
32,128,262144,148.700
32,128,524288,79.771
32,128,1048576,39.609
64,128,128,1914.043
64,128,256,1873.927
64,128,512,1865.299
64,128,1024,1740.919
64,128,2048,1586.696
64,128,4096,1601.091
64,128,8192,1205.443
64,128,16384,1189.724
64,128,32768,589.717
64,128,65536,303.352
64,128,131072,153.789
64,128,262144,84.036
64,128,524288,41.826
64,128,1048576,26.949
128,128,128,1894.033
128,128,256,1873.708
128,128,512,1770.098
128,128,1024,1612.554
128,128,2048,1628.377
128,128,4096,1230.342
128,128,8192,1229.163
128,128,16384,612.300
128,128,32768,312.229
128,128,65536,157.300
128,128,131072,85.905
128,128,262144,43.124
128,128,524288,28.480
128,128,1048576,14.153
256,128,128,1894.980
256,128,256,1792.009
256,128,512,1630.875
256,128,1024,1648.610
256,128,2048,1238.922
256,128,4096,1242.403
256,128,8192,624.117
256,128,16384,318.195
256,128,32768,159.067
256,128,65536,86.631
256,128,131072,43.213
256,128,262144,28.800
256,128,524288,14.441
256,128,1048576,13.797
